id,source_sha256,profile,source_path,source_line,original,resource_kind,review_status,translation_zh-Hans,translation_zh-Hant
audio/music_player.asm::_EmptyPitchOrTempo::1,ed067123f033113bfa5d0390386fc579d30e9c1d15a0af335f6805a697913cb4,normal,audio/music_player.asm,709,     @,text,ready,,
audio/music_player.asm::GetSongArtist.Composer::1,1f1dbcb57e9a376c8d91d17d2623ff7fd74aab6d9f9557f1ee8525dcc667a985,normal,audio/music_player.asm,1455,Composer:@,text,ready,,
audio/music_player.asm::GetSongArtist2.Arranger::1,343b1032de15d1f505905389bea74ad28520ade6d6347177e424b5b7454af99b,normal,audio/music_player.asm,1473,Arranger:@,text,ready,,
data/abilities/descriptions.asm::NoAbilityDescription::1,50f4b361d027d6090213ec4245cdbe2a66314eb387a5db2d6ff3a2366c2c7359,normal,data/abilities/descriptions.asm,166,"Abilities are
{next}
disabled.
{done}",text,ready,,
data/abilities/descriptions.asm::StenchDescription::1,b241fc160543d168cb55f50b26480518b74a40bd68a76a0996b8a09129d98c32,normal,data/abilities/descriptions.asm,171,"May cause the foe
{next}
to flinch.
{done}",text,ready,,
data/abilities/descriptions.asm::DrizzleDescription::1,cfd6deb39955f2ac4aca1119c74add63ffbb2f6ec8d32db8be183b728054600d,normal,data/abilities/descriptions.asm,176,"Summons rain when
{next}
switched in.
{done}",text,ready,,
data/abilities/descriptions.asm::SpeedBoostDescription::1,0c6a0d05ab4f4746941d38cb46e1c2d76c276967be4ca101c49087e278630e01,normal,data/abilities/descriptions.asm,181,"Its Speed stat is
{next}
gradually boosted.
{done}",text,ready,,
data/abilities/descriptions.asm::ShellArmorDescription::1,d0bfb486652c5b31281aba08173f66c410731a4141701aae33373fa19743716a,normal,data/abilities/descriptions.asm,187,"Protects from
{next}
critical hits.
{done}",text,ready,,
data/abilities/descriptions.asm::SturdyDescription::1,3d907a8b20f88b44aab5b6d38fb88aaadc8a4e15e8d70ee927e55a2d766ab307,normal,data/abilities/descriptions.asm,192,"Cannot be knocked
{next}
out with one hit.
{done}",text,ready,,
data/abilities/descriptions.asm::DampDescription::1,f5cf08d24bac9f10b396106affc30caba29b35fe369bb2a1d5b299dea5f52048,normal,data/abilities/descriptions.asm,197,"Prevents self-
{next}
destructing moves.
{done}",text,ready,,
data/abilities/descriptions.asm::LimberDescription::1,d494ff769d67acd366377496698ee125a09a148563a509a246cf817985c35ef9,normal,data/abilities/descriptions.asm,202,"Protects from
{next}
paralysis.
{done}",text,ready,,
data/abilities/descriptions.asm::SandVeilDescription::1,ce1044a7c3b44346b6b96b68c132afd3a8cbdc515e808b3f8d4ff06d96e26d3e,normal,data/abilities/descriptions.asm,207,"Boosts evasion in
{next}
a sandstorm.
{done}",text,ready,,
data/abilities/descriptions.asm::StaticDescription::1,3ca48d493de12010fe15704e3302519da094194b20098e7c5bc68a7e919f2fe6,normal,data/abilities/descriptions.asm,212,"Contact may cause
{next}
paralysis.
{done}",text,ready,,
data/abilities/descriptions.asm::VoltAbsorbDescription::1,4543297907c9d3877854b8442308283f6b8002c7584adf08228379d0765908e0,normal,data/abilities/descriptions.asm,217,"Restores HP if hit
{next}
by Electric moves.
{done}",text,ready,,
data/abilities/descriptions.asm::WaterAbsorbDescription::1,7c16c00dd2664d0d7840d67eba9c8ba5dc9dc71dae31d039cf7c1cae70d369e8,normal,data/abilities/descriptions.asm,222,"Restores HP if hit
{next}
by Water moves.
{done}",text,ready,,
data/abilities/descriptions.asm::ObliviousDescription::1,18de6e4751b29cbacd155e5b8d465c6c0440f284c0ae8ffc35b11d859343ce34,normal,data/abilities/descriptions.asm,227,"Prevents it from
{next}
being infatuated.
{done}",text,ready,,
